ID,Mean Speed (BL/s),Max Speed (BL/s),Total Distance (BL),Freezing Ratio (%),Mean Dist to Center (BL),Time in Center (%),Mean Acceleration,Group,Mean Speed (BL/s)_Z,Total Distance (BL)_Z,Freezing Ratio (%)_Z,Mean Dist to Center (BL)_Z,Time in Center (%)_Z,Mean Acceleration_Z,Behavior Index,Anxiety Index
Control-1,1.632,9.839,489.699,3.967,4.756,18.689,24.785,Control,-0.06666161124176456,-0.0665116311746063,-0.5934290672148589,1.2479517732853949,-1.5482907471399112,1.844757779390778,-0.08187148603934004,0.567368766113053
Control-2,0.872,7.311,261.735,9.756,2.669,70.022,12.753,Control,-0.9785924530291032,-0.9783625747088837,0.8790788068129238,-1.2558164554712352,0.6685015779986109,-0.9641277563263788,-0.3126405929012406,-0.016661693406954725
Control-3,1.629,9.623,488.787,6.022,3.796,57.8,20.416,Control,-0.07026133824881972,-0.07015961094554948,-0.07071293642766009,0.0962423820029964,0.14070005075798525,0.82480923338444,0.13325981489545327,-0.011227316733457306
Control-4,0.974,6.527,292.349,6.044,2.674,78.833,16.691,Control,-0.8562017347892236,-0.8559072537575126,-0.06511694865280947,-1.2498179690583062,1.0490006171507256,-0.0447967024987392,0.10117164063606097,-0.37693345001815437
Control-5,2.745,10.036,823.489,2.722,4.972,17.167,20.974,Control,1.2688371083757464,1.2686409650349113,-0.9101111026552785,1.5070863863239348,-1.6140176269026532,0.9550750353234504,0.2135933663604664,0.2355389505488908
Control-6,0.776,5.087,232.742,5.122,3.149,70.344,13.482,Control,-1.0937837172548723,-1.0943339316156293,-0.2996397090351925,-0.6799617598300363,0.6824070019694402,-0.7939417892770266,-0.22000849455214322,-0.14205618839494916
Control-7,2.269,8.614,680.832,11.478,3.32,76.411,15.583,Control,0.6976804232563079,0.6980161293074743,1.3170920317353356,-0.4748135245078593,0.9444076455440495,-0.30346069631311806,0.19906083242787287,-0.19995239039322027
Control-8,3.059,7.559,917.698,0.111,4.001,53.178,14.978,Control,1.6456085351141996,1.6454748753866364,-1.5742531062977974,0.3421803249330924,-0.05889892313386304,-0.4446987073760237,0.669926426892609,-0.7046955983362604
Control-9,1.232,6.851,369.612,11.478,4.105,48.433,12.284,Control,-0.5466252121824691,-0.5468569675268407,1.3170920317353356,0.466948842322019,-0.2638095962443822,-1.0736163963073748,-0.7024915077197368,0.6486189206210514
50mg/kg-1,1.003,7.745,300.765,15.544,4.908,2.5,9.356,50mg/kg,-0.8214043737210226,-0.8222434404326698,2.3513323177600314,1.4303057602384415,-2.2474053703192993,-1.757161679600247,-1.5716421570119519,1.7126119555096986
50mg/kg-2,2.039,10.066,611.678,9.711,4.683,14.322,15.716,50mg/kg,0.4217013527154027,0.42140166321120726,0.8676324681825472,1.1603738716566288,-1.7368776616759785,-0.2724116790050745,-0.5323654440989366,0.835795662199938
50mg/kg-3,2.097,9.35,503.209,5.444,4.434,16.75,16.896,50mg/kg,0.49129607485180465,-0.012471930839693427,-0.21773479705783091,0.8616492482927571,-1.6320255827903427,0.0030608053820804725,-0.2990091807718462,0.4461609897933661
50mg/kg-4,1.522,8.703,456.505,11.589,5.064,2.422,13.598,50mg/kg,-0.19865160150045819,-0.19928689489904006,1.3453263336902648,1.6174585363218308,-2.250773764945774,-0.7668614433542214,-1.0630597624519316,1.3530525591145819
50mg/kg-5,0.667,4.319,200.082,11.933,5.017,1.556,6.745,50mg/kg,-1.2245737985112144,-1.224973207184708,1.4328272334424768,1.561072764040297,-2.2881715822089372,-2.366702914121315,-1.6830535832514915,1.6266613445507314
50mg/kg-6,0.569,3.877,170.808,13.989,4.517,80.311,6.102,50mg/kg,-1.342164880741687,-1.3420685578585971,1.9557977273103508,0.9612241227473813,1.1128273768677643,-2.5168120729865193,-1.1675399974627954,0.7865898384829138
50mg/kg-7,1.447,7.829,433.96,2.422,4.318,37.856,10.423,50mg/kg,-0.28864477667684024,-0.2894663948287671,-0.9864200268577893,0.7224843635128001,-0.7205725445035944,-1.5080691873620318,-0.42380287333770744,0.18632041445886138
50mg/kg-8,1.32,7.029,395.918,2.611,3.202,74.256,10.317,50mg/kg,-0.441033219975514,-0.4416335510197927,-0.9383454046102074,-0.6163778038529872,0.851344947851074,-1.5328150207052846,-0.0015689392310537416,-0.4912587340846886
50mg/kg-9,1.641,8.488,492.43,0.8,3.732,59.533,14.932,50mg/kg,-0.055862430220598565,-0.05558769175087226,-1.3989969437126974,0.01946175591750365,0.21553886983080522,-0.4554374652419635,0.17136441173542746,-0.3848029068513501
250mg/kg-1,1.193,6.62,357.777,6.167,4.273,35.878,9.104,250mg/kg,-0.5934216632741877,-0.5941967050149011,-0.03383028972978,0.6684979857964377,-0.805991577467263,-1.8159913966049614,-0.7407115064046618,0.5085202342020271
250mg/kg-2,0.511,3.864,153.301,15.956,5.376,3.533,4.679,250mg/kg,-1.411759602878089,-1.412096169536119,2.456129906998146,1.9917640884886105,-2.2027957337917616,-2.849013213056791,-2.053926452458253,2.0156123330391518
250mg/kg-3,2.0274,9.142,607.958,16.711,4.787,1.122,19.035,250mg/kg,0.40778240828812223,0.4065217457244658,2.648174032907798,1.2851423890455553,-2.306913675387012,0.502413046148287,-0.8205854828632484,1.4581119222630607
250mg/kg-4,1.633,7.44,489.932,7.544,4.444,29.522,13.348,250mg/kg,-0.06546170223941267,-0.06557963634277544,0.31642767235974434,0.8736462211186152,-1.0804725549784244,-0.8252242578430252,-0.5378020074803329,0.5840020376740492
250mg/kg-5,2.125,9.332,637.53,6.589,4.978,5.778,15.857,250mg/kg,0.524893526917654,0.5248090897884218,0.0735109303150853,1.514284570019449,-2.105846426914393,-0.2394950516333891,-0.48057239369604005,0.7921871000828182
250mg/kg-6,0.882,6.654,264.57,9.633,4.059,56.511,7.663,250mg/kg,-0.9665933630055856,-0.9670226375919719,0.8477921478898942,0.41176276732307043,0.08503517032817319,-2.152394659318427,-0.876755067466796,0.5352782769725943
250mg/kg-7,1.4,7.322,420.095,1.233,4.012,50.678,11.597,250mg/kg,-0.3450404997873732,-0.3449260872894307,-1.288857729780407,0.35537699504153564,-0.16686028936701336,-1.2339974105226084,-0.19289059203792572,-0.10539498639612117
250mg/kg-8,1.121,7.204,573.48,10.448,4.277,32.692,8.871,250mg/kg,-0.6798151114435146,0.2686105104804151,1.0550980586400487,0.6732967749267816,-0.9435775425947898,-1.8703855397085265,-0.825593752805541,0.8379468719012837
250mg/kg-9,0.903,6.848,367.627,14.997,5.453,5.002,7.928,250mg/kg,-0.9413952739561986,-0.5547969234975885,2.2121957126307867,2.0841407792477193,-2.1393576349931624,-2.090530075960295,-1.6704027333809586,1.8442723502069667
1250mg/kg-1,0.952,6.496,224.386,5.205,4.858,29.293,16.955,1250mg/kg,-0.8825997328409624,-1.127757746271331,-0.27852757333916445,1.370320896109149,-1.090361816125381,0.016834429601437623,-0.6959463647343703,0.7661887179340819
1250mg/kg-2,0.862,6.968,258.546,5.767,3.975,27.067,14.345,1250mg/kg,-0.9905915430526209,-0.9911185039737274,-0.13557552199979422,0.3109881955858605,-1.186490616619378,-0.5924733536616751,-0.6560144484822447,0.5881237083145163
1250mg/kg-3,0.934,8.242,280.258,39.689,3.975,53.167,15.435,1250mg/kg,-0.904198094883294,-0.9042709855672412,8.492928900658772,0.3109881955858605,-0.05937395314528871,-0.3380114824904899,-1.834961935388491,2.4418722860683033
1250mg/kg-4,0.362,3.25,108.635,11.078,4.272,1.156,7.5,1250mg/kg,-1.5905460442285015,-1.59075917880031,1.215346799465321,0.6672982885138526,-2.3054454008062413,-2.1904472143651277,-1.5933071543632258,1.444659133253479
1250mg/kg-5,0.679,5.321,203.812,25.378,4.56,2.1,10.742,1250mg/kg,-1.2101748904829932,-1.2100532899197765,4.852738853118335,1.0128111058985712,-2.2646791889166034,-1.4335982360743176,-1.9973425940684326,2.3351010096041254
1250mg/kg-6,1.269,6.83,380.606,21.189,4.963,0.967,18.34,1250mg/kg,-0.502228579095454,-0.5028812113845734,3.787211908170609,1.4962891107806617,-2.3136072800934673,0.34016442186941187,-1.3770089446092255,2.024834219535048
1250mg/kg-7,0.571,4.266,298.365,23.557,5.228,1.5,6.032,1250mg/kg,-1.3397650627369835,-0.8318433871983093,4.3895436832090935,1.8142088906659068,-2.2905899168125594,-2.5331536610433845,-2.1998507669443725,2.4585268883561358
1250mg/kg-8,1.135,6.235,340.453,11.778,3.987,44.878,9.077,1250mg/kg,-0.6630163854105899,-0.663492320751543,1.3934009559378464,0.3253845629768905,-0.41733065902792194,-1.8222945805697521,-0.8808199107790906,0.6997831408383122
1250mg/kg-9,1.534,8.025,460.213,14.711,4.752,30.711,12.385,1250mg/kg,-0.18425269347223705,-0.18445497714612677,2.1394478715577265,1.243152984155051,-1.029126129197938,-1.0500378192538984,-0.9717454124638296,1.148994919595738
